epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8277,0.70162,2.56488,1.08791,0.00333,1,0.88033,0.73944,0.32895,2.65557,0.84568,0.00014,0.00014,0.00014
2,44.836,0.49233,1.18527,0.91024,1,0.92751,0.995,0.93054,0.35957,1.83549,0.82732,0.00029703,0.00029703,0.00029703
3,65.376,0.50379,0.86746,0.95152,0.98667,1,0.995,0.93921,0.33473,1.28375,0.82112,0.000450892,0.000450892,0.000450892
4,89.2134,0.51049,0.7569,0.90773,1,0.99518,0.995,0.93627,0.36729,1.47192,0.84165,0.000601586,0.000601586,0.000601586
5,120.527,0.50596,0.74498,0.91522,0.99823,1,0.995,0.94264,0.37008,0.997,0.82941,0.000749112,0.000749112,0.000749112
6,149.938,0.53559,0.73877,0.92517,0.99831,1,0.995,0.90173,0.44604,1.07917,0.8503,0.00089347,0.00089347,0.00089347
7,179.112,0.56084,0.72526,0.9234,1,0.99801,0.995,0.90754,0.44839,1.18714,0.85146,0.00103466,0.00103466,0.00103466
8,208.534,0.56342,0.72762,0.94724,0.99858,1,0.995,0.94469,0.36948,0.89841,0.83163,0.00117268,0.00117268,0.00117268
9,239.002,0.53317,0.68469,0.93007,0.99454,1,0.995,0.87441,0.53874,1.1981,0.90568,0.00130754,0.00130754,0.00130754
10,269.961,0.56983,0.64571,0.92308,1,0.99686,0.995,0.88903,0.53571,0.98081,0.92195,0.00143922,0.00143922,0.00143922
11,298.17,0.59706,0.673,0.93238,0.977,0.96429,0.99045,0.89981,0.39989,1.09649,0.87465,0.00156774,0.00156774,0.00156774
12,326.332,0.53337,0.66121,0.93336,0.9446,0.96429,0.98507,0.87485,0.50047,1.36306,0.92767,0.00169309,0.00169309,0.00169309
13,354.51,0.55627,0.65441,0.91258,1,0.99857,0.995,0.87786,0.48135,0.9137,0.88047,0.0017624,0.0017624,0.0017624
14,382.841,0.5437,0.61928,0.92165,0.958,1,0.99397,0.68075,0.93489,1.33816,1.10258,0.0017426,0.0017426,0.0017426
15,411.353,0.5328,0.61114,0.92154,0.84809,1,0.95064,0.75494,0.80081,1.61876,1.07085,0.0017228,0.0017228,0.0017228
16,439.887,0.47995,0.57781,0.89205,0.99699,1,0.995,0.87982,0.45628,0.79509,0.86227,0.001703,0.001703,0.001703
17,468.477,0.48178,0.58261,0.89102,1,0.9988,0.995,0.90946,0.43058,0.67838,0.84487,0.0016832,0.0016832,0.0016832
18,497.129,0.48403,0.5789,0.89979,0.99108,1,0.995,0.91159,0.41345,0.80613,0.84654,0.0016634,0.0016634,0.0016634
