epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2283,0.57021,2.06373,1.04264,0.35874,1,0.995,0.94236,0.31205,2.48779,0.87017,0.00028,0.00028,0.00028
2,76.841,0.5043,1.03705,0.94027,0.99575,1,0.995,0.94292,0.33581,2.16365,0.87937,0.000575583,0.000575583,0.000575583
3,113.769,0.58783,1.04378,1.02704,1,0.9922,0.995,0.90977,0.42606,1.63427,0.91855,0.000866597,0.000866597,0.000866597
4,150.848,0.55575,0.95966,0.93976,0.96402,0.95702,0.97903,0.85088,0.55229,1.55574,1.03194,0.00115304,0.00115304,0.00115304
5,187.63,0.58591,1.01315,1.00033,0.95376,1,0.98776,0.83807,0.55123,1.67934,1.02991,0.00143492,0.00143492,0.00143492
6,224.752,0.58516,0.9533,0.98515,0.93284,0.99237,0.98657,0.81437,0.66581,1.62475,1.17445,0.00171222,0.00171222,0.00171222
7,260.877,0.59451,0.90717,0.97048,0.9614,1,0.99397,0.80742,0.67544,1.41441,1.04136,0.00190862,0.00190862,0.00190862
8,297.518,0.60689,0.89469,1.00239,0.98721,1,0.995,0.89835,0.46,1.12325,0.95141,0.00189338,0.00189338,0.00189338
9,334.589,0.56395,0.81231,0.95085,0.99659,1,0.995,0.77081,0.62078,1.1784,1.06018,0.00187815,0.00187815,0.00187815
10,371.218,0.6069,0.79425,0.97911,0.86333,1,0.98315,0.86729,0.54775,1.60493,1.03507,0.00186292,0.00186292,0.00186292
11,407.465,0.5821,0.76403,0.94827,0.99621,1,0.995,0.9001,0.45074,0.97815,0.94038,0.00184769,0.00184769,0.00184769
12,443.533,0.59431,0.73563,0.96718,0.99564,1,0.995,0.91373,0.4103,1.02358,0.89866,0.00183246,0.00183246,0.00183246
13,480.381,0.56886,0.70524,0.96483,1,0.98666,0.995,0.90514,0.3923,0.87132,0.90546,0.00181723,0.00181723,0.00181723
14,517.044,0.54132,0.6732,0.93363,1,0.9982,0.995,0.90395,0.40925,0.83464,0.93278,0.001802,0.001802,0.001802
15,553.753,0.50471,0.6481,0.9384,0.99799,1,0.995,0.88908,0.41906,0.73862,0.96671,0.00178677,0.00178677,0.00178677
16,590.066,0.51011,0.64581,0.9267,0.9978,1,0.995,0.94911,0.39534,0.69993,0.90343,0.00177154,0.00177154,0.00177154
17,625.582,0.50221,0.63034,0.94871,0.99616,1,0.995,0.93423,0.38047,0.75251,0.89379,0.00175631,0.00175631,0.00175631
18,661.104,0.50037,0.5958,0.94671,0.98922,1,0.995,0.93624,0.38277,0.82615,0.88332,0.00174108,0.00174108,0.00174108
19,696.699,0.48201,0.5779,0.9235,0.9675,0.78571,0.93617,0.80752,0.55242,1.24888,0.96876,0.00172585,0.00172585,0.00172585
20,732.796,0.46322,0.55193,0.91194,0.92429,1,0.99017,0.90784,0.48279,0.83306,0.92757,0.00171062,0.00171062,0.00171062
21,768.822,0.44402,0.56214,0.92921,0.9924,1,0.995,0.90864,0.37602,0.59111,0.87488,0.00169538,0.00169538,0.00169538
22,805.166,0.48132,0.5402,0.9419,0.99733,1,0.995,0.91102,0.3907,0.56739,0.87959,0.00168015,0.00168015,0.00168015
23,841.773,0.50292,0.54117,0.91355,0.99777,1,0.995,0.94054,0.40932,0.57238,0.90115,0.00166492,0.00166492,0.00166492
24,878.953,0.48559,0.53643,0.95111,0.99694,1,0.995,0.91393,0.41792,0.60444,0.91892,0.00164969,0.00164969,0.00164969
25,915.72,0.50436,0.5328,0.91739,0.99745,1,0.995,0.92732,0.42447,0.5873,0.89848,0.00163446,0.00163446,0.00163446
26,952.383,0.4558,0.49695,0.92743,0.99747,1,0.995,0.94763,0.35152,0.49532,0.85732,0.00161923,0.00161923,0.00161923
27,990.618,0.50831,0.50325,0.93225,0.99781,1,0.995,0.93696,0.32714,0.53936,0.85681,0.001604,0.001604,0.001604
28,1030.8,0.46242,0.47182,0.92013,0.99696,1,0.995,0.94735,0.3218,0.51979,0.85122,0.00158877,0.00158877,0.00158877
29,1082.03,0.42429,0.46297,0.89833,0.99748,1,0.995,0.95041,0.3258,0.48136,0.85036,0.00157354,0.00157354,0.00157354
30,1132.28,0.42246,0.44363,0.89478,0.99737,1,0.995,0.96223,0.3004,0.45628,0.84307,0.00155831,0.00155831,0.00155831
