epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1788,0.74247,2.58312,1.12394,0.00333,1,0.94529,0.84216,0.38807,2.66054,0.85835,0.00014,0.00014,0.00014
2,39.5226,0.53028,1.27142,0.92819,0.99,1,0.995,0.92175,0.36941,1.57085,0.8392,0.00029703,0.00029703,0.00029703
3,57.7147,0.51816,0.9202,0.95666,0.9896,1,0.995,0.93443,0.34335,1.30375,0.8267,0.000450892,0.000450892,0.000450892
4,76.1343,0.53928,0.84721,0.92122,1,0.9527,0.99397,0.92259,0.39915,1.6725,0.85649,0.000601586,0.000601586,0.000601586
5,94.4898,0.56688,0.79314,0.93554,0.99795,1,0.995,0.91355,0.41849,1.06259,0.85526,0.000749112,0.000749112,0.000749112
6,112.828,0.55911,0.78738,0.92747,0.99979,1,0.995,0.90775,0.43311,1.10924,0.85469,0.00089347,0.00089347,0.00089347
7,131.113,0.59322,0.73681,0.93557,0.99724,1,0.995,0.91942,0.40089,1.25902,0.84645,0.00103466,0.00103466,0.00103466
8,149.403,0.58331,0.73728,0.94485,0.99719,1,0.995,0.91178,0.45188,1.15674,0.89847,0.00117268,0.00117268,0.00117268
9,167.386,0.55796,0.68996,0.94263,0.99,1,0.995,0.91143,0.41612,1.03243,0.84692,0.00130754,0.00130754,0.00130754
10,185.184,0.56338,0.6409,0.9256,0.99868,1,0.995,0.92624,0.4056,1.14664,0.85373,0.00143922,0.00143922,0.00143922
11,203.118,0.60779,0.68495,0.94579,0.9968,1,0.995,0.93071,0.40819,0.88531,0.85152,0.00156774,0.00156774,0.00156774
12,221.442,0.54063,0.65123,0.9413,0.96521,0.9911,0.99259,0.90782,0.43817,1.00442,0.86808,0.00169309,0.00169309,0.00169309
13,239.323,0.52774,0.66505,0.91196,0.99331,1,0.995,0.91062,0.47313,1.13298,0.88481,0.0017624,0.0017624,0.0017624
14,257.066,0.54965,0.62349,0.93157,0.99637,1,0.995,0.90951,0.44747,0.92379,0.87367,0.0017426,0.0017426,0.0017426
15,274.877,0.52756,0.62573,0.92328,0.9938,1,0.995,0.90413,0.46483,0.90735,0.87589,0.0017228,0.0017228,0.0017228
16,292.772,0.54667,0.63432,0.92056,0.99678,1,0.995,0.92861,0.41527,0.78011,0.84963,0.001703,0.001703,0.001703
17,310.987,0.53405,0.6143,0.91893,0.99601,1,0.995,0.89233,0.44113,0.70557,0.86255,0.0016832,0.0016832,0.0016832
18,329.097,0.53508,0.57951,0.92061,0.995,1,0.995,0.90633,0.45608,0.69456,0.8732,0.0016634,0.0016634,0.0016634
19,347.069,0.55147,0.57149,0.90766,0.99743,1,0.995,0.90485,0.49177,0.70513,0.89349,0.0016436,0.0016436,0.0016436
20,365.039,0.52634,0.54981,0.90526,0.99684,1,0.995,0.93,0.37933,0.63488,0.84812,0.0016238,0.0016238,0.0016238
21,382.963,0.4962,0.53049,0.90118,0.99531,1,0.995,0.92025,0.36936,0.64889,0.84371,0.001604,0.001604,0.001604
22,400.645,0.44589,0.49992,0.88942,0.99647,1,0.995,0.92674,0.37954,0.51919,0.85338,0.0015842,0.0015842,0.0015842
23,419.19,0.47861,0.51247,0.90484,0.9981,1,0.995,0.95288,0.37425,0.52182,0.83805,0.0015644,0.0015644,0.0015644
24,436.831,0.45789,0.48866,0.90438,0.99759,1,0.995,0.93513,0.37808,0.52547,0.83717,0.0015446,0.0015446,0.0015446
25,454.456,0.48186,0.4964,0.88797,0.9976,1,0.995,0.92836,0.34262,0.53195,0.83303,0.0015248,0.0015248,0.0015248
26,472.066,0.45969,0.48841,0.88866,0.99751,1,0.995,0.87541,0.45202,0.55429,0.87683,0.001505,0.001505,0.001505
27,489.971,0.49521,0.4919,0.90404,0.99769,1,0.995,0.91761,0.40049,0.49841,0.86045,0.0014852,0.0014852,0.0014852
28,507.833,0.4695,0.47392,0.90185,0.99776,1,0.995,0.94,0.34132,0.45851,0.83351,0.0014654,0.0014654,0.0014654
29,525.342,0.43754,0.47128,0.89363,0.99697,1,0.995,0.95123,0.32647,0.46836,0.83296,0.0014456,0.0014456,0.0014456
30,543.118,0.42707,0.43887,0.8799,0.96842,1,0.995,0.91428,0.35082,0.52364,0.83549,0.0014258,0.0014258,0.0014258
31,560.847,0.42737,0.43869,0.87359,0.99076,1,0.995,0.95636,0.33823,0.46506,0.82719,0.001406,0.001406,0.001406
32,578.561,0.42453,0.43666,0.87274,0.99622,1,0.995,0.9504,0.30807,0.46309,0.81608,0.0013862,0.0013862,0.0013862
33,596.253,0.43474,0.441,0.88663,0.99685,1,0.995,0.94576,0.33096,0.42367,0.81836,0.0013664,0.0013664,0.0013664
34,617.927,0.43903,0.42988,0.88771,0.99714,1,0.995,0.93787,0.32059,0.3886,0.82109,0.0013466,0.0013466,0.0013466
35,636.663,0.42105,0.41125,0.86669,0.99797,1,0.995,0.95116,0.33842,0.3652,0.82841,0.0013268,0.0013268,0.0013268
36,654.791,0.42557,0.42829,0.88511,0.99815,1,0.995,0.9561,0.34863,0.36939,0.83171,0.001307,0.001307,0.001307
37,672.854,0.43018,0.41433,0.89198,0.99791,1,0.995,0.93392,0.31988,0.35197,0.81924,0.0012872,0.0012872,0.0012872
38,691.201,0.43098,0.4101,0.88152,0.99747,1,0.995,0.9532,0.31363,0.34556,0.82173,0.0012674,0.0012674,0.0012674
39,709.322,0.40889,0.39392,0.88849,0.99569,1,0.995,0.93401,0.31732,0.3785,0.82154,0.0012476,0.0012476,0.0012476
40,727.656,0.4051,0.39415,0.87501,0.99776,1,0.995,0.94538,0.3303,0.39181,0.82299,0.0012278,0.0012278,0.0012278
41,745.952,0.40769,0.39101,0.86563,0.997,1,0.995,0.95583,0.31504,0.35159,0.82396,0.001208,0.001208,0.001208
42,764.263,0.44342,0.39782,0.88948,0.99728,1,0.995,0.97762,0.33309,0.37669,0.82515,0.0011882,0.0011882,0.0011882
43,782.207,0.39645,0.37326,0.87258,0.99616,1,0.995,0.91333,0.39278,0.38969,0.85478,0.0011684,0.0011684,0.0011684
44,800.228,0.37473,0.37117,0.85582,0.99021,1,0.995,0.92059,0.3698,0.40286,0.84026,0.0011486,0.0011486,0.0011486
45,818.173,0.40533,0.37253,0.88231,0.99692,1,0.995,0.94675,0.31818,0.35641,0.82893,0.0011288,0.0011288,0.0011288
46,835.668,0.40347,0.36686,0.84628,0.99772,1,0.995,0.95354,0.31138,0.33997,0.83524,0.001109,0.001109,0.001109
47,854.626,0.41916,0.36478,0.89407,0.99802,1,0.995,0.95098,0.33151,0.35003,0.83213,0.0010892,0.0010892,0.0010892
48,877.286,0.38321,0.37697,0.87067,0.99811,1,0.995,0.9773,0.28659,0.33643,0.81503,0.0010694,0.0010694,0.0010694
49,895.094,0.4433,0.40724,0.88235,0.9981,1,0.995,0.9721,0.25133,0.30838,0.80805,0.0010496,0.0010496,0.0010496
50,912.376,0.38044,0.36905,0.85574,0.998,1,0.995,0.94946,0.29434,0.30218,0.81858,0.0010298,0.0010298,0.0010298
51,932.531,0.39752,0.35955,0.86665,0.99802,1,0.995,0.95537,0.28752,0.31048,0.81704,0.00101,0.00101,0.00101
52,952.396,0.37792,0.3512,0.87511,0.99806,1,0.995,0.97308,0.28679,0.31178,0.81449,0.0009902,0.0009902,0.0009902
53,971.576,0.36789,0.33369,0.86626,0.99804,1,0.995,0.97387,0.27455,0.31236,0.80882,0.0009704,0.0009704,0.0009704
54,990.431,0.36677,0.33343,0.86221,0.99805,1,0.995,0.98652,0.27625,0.30651,0.80619,0.0009506,0.0009506,0.0009506
55,1008.47,0.34437,0.33027,0.85779,0.99812,1,0.995,0.98165,0.26454,0.28209,0.80344,0.0009308,0.0009308,0.0009308
56,1026.76,0.38735,0.33714,0.88814,0.99809,1,0.995,0.98411,0.23134,0.27242,0.80004,0.000911,0.000911,0.000911
57,1045.02,0.34416,0.31812,0.84712,0.99808,1,0.995,0.97967,0.22384,0.28023,0.80012,0.0008912,0.0008912,0.0008912
58,1063.15,0.373,0.32735,0.87562,0.99794,1,0.995,0.97579,0.24246,0.28828,0.80198,0.0008714,0.0008714,0.0008714
59,1080.87,0.33767,0.31257,0.83553,0.99829,1,0.995,0.96741,0.27896,0.29733,0.81312,0.0008516,0.0008516,0.0008516
60,1098.51,0.34744,0.30214,0.85124,0.99787,1,0.995,0.94317,0.26944,0.29265,0.81465,0.0008318,0.0008318,0.0008318
61,1116.69,0.3402,0.3106,0.85472,0.9981,1,0.995,0.97782,0.24554,0.26501,0.80553,0.000812,0.000812,0.000812
62,1134.38,0.34618,0.31762,0.8588,0.99808,1,0.995,0.96742,0.26983,0.27457,0.81532,0.0007922,0.0007922,0.0007922
63,1152.4,0.35462,0.32493,0.86429,0.99809,1,0.995,0.96702,0.27684,0.2649,0.81822,0.0007724,0.0007724,0.0007724
64,1170.36,0.35264,0.3309,0.8789,0.99806,1,0.995,0.95317,0.28896,0.27868,0.82229,0.0007526,0.0007526,0.0007526
65,1188.1,0.34478,0.33812,0.86293,0.99781,1,0.995,0.9565,0.30015,0.27442,0.82865,0.0007328,0.0007328,0.0007328
66,1206.05,0.34774,0.31609,0.86658,0.99732,1,0.995,0.96285,0.28917,0.26667,0.82397,0.000713,0.000713,0.000713
67,1223.94,0.32132,0.30344,0.84037,0.99706,1,0.995,0.95679,0.26375,0.26697,0.80909,0.0006932,0.0006932,0.0006932
68,1241.64,0.33971,0.30656,0.85864,0.99714,1,0.995,0.98893,0.25293,0.25828,0.80686,0.0006734,0.0006734,0.0006734
69,1259.37,0.35159,0.32204,0.85827,0.99694,1,0.995,0.99046,0.24284,0.25641,0.80278,0.0006536,0.0006536,0.0006536
